Date,Location,WorkFromHome,Notes
2024-07-01,Home,Yes,Full day WFH
2024-07-02,Office,No,In office
2024-07-03,Home,Yes,Full day WFH
2024-07-04,Home,Yes,Full day WFH
2024-07-05,Office,No,In office
2024-07-08,Home,Yes,Full day WFH
2024-07-09,Home,Yes,Full day WFH
2024-07-10,Office,No,In office
2024-07-11,Home,Yes,Full day WFH
2024-07-12,Office,No,In office
2024-07-15,Home,Yes,Full day WFH
2024-07-16,Home,Yes,Full day WFH
2024-07-17,Office,No,In office
2024-07-18,Home,Yes,Full day WFH
2024-07-19,Office,No,In office
2024-07-22,Home,Yes,Full day WFH
2024-07-23,Home,Yes,Full day WFH
2024-07-24,Office,No,In office
2024-07-25,Home,Yes,Full day WFH
2024-07-26,Office,No,In office
2024-07-29,Home,Yes,Full day WFH
2024-07-30,Home,Yes,Full day WFH
2024-07-31,Office,No,In office
2024-08-01,Home,Yes,Full day WFH
2024-08-02,Office,No,In office
2024-08-05,Home,Yes,Full day WFH
2024-08-06,Home,Yes,Full day WFH
2024-08-07,Office,No,In office
2024-08-08,Home,Yes,Full day WFH
2024-08-09,Office,No,In office
